,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,11283501,"+100,925",530918.0,"+2,509",6392037.0,"+99,514",4360546.0,58820.0,1448.0,68.1,,,,,,
1,1.0,USA,2912169,"+21,581",132196.0,+95,1237836.0,"+2,348",1542137.0,15928.0,8798.0,399.0,36361917.0,109849.0,331018157.0,114.0,2504.0,9.0
2,2.0,Brazil,1550176,"+6,835",63409.0,+155,978615.0,"+32,700",508152.0,8318.0,7293.0,298.0,3330562.0,15668.0,212570544.0,137.0,3352.0,64.0
3,3.0,Russia,674515,"+6,632",10027.0,+168,446879.0,"+8,986",217609.0,2300.0,4622.0,69.0,20451110.0,140138.0,145935130.0,216.0,14554.0,7.0
4,4.0,India,672644,"+22,755",19279.0,+610,408625.0,"+14,306",244740.0,8944.0,487.0,14.0,9540132.0,6913.0,1380085626.0,2052.0,71585.0,145.0
5,5.0,Spain,297625,,28385.0,,,,,617.0,6366.0,607.0,5448984.0,116543.0,46754972.0,157.0,1647.0,9.0
6,6.0,Peru,295599,,10226.0,,185852.0,,99521.0,1210.0,8965.0,310.0,1740969.0,52799.0,32973640.0,112.0,3224.0,19.0
7,7.0,Chile,288089,,6051.0,,253343.0,,28695.0,2099.0,15070.0,317.0,1146593.0,59977.0,19117287.0,66.0,3159.0,17.0
8,8.0,UK,284900,+624,44198.0,+67,,,,279.0,4197.0,651.0,10340511.0,152315.0,67888969.0,238.0,1536.0,7.0
9,9.0,Mexico,245251,"+6,740",29843.0,+654,147205.0,"+4,612",68203.0,378.0,1902.0,231.0,624987.0,4847.0,128940399.0,526.0,4321.0,206.0
10,10.0,Italy,241419,+235,34854.0,+21,191944.0,+477,14621.0,71.0,3993.0,576.0,5600826.0,92636.0,60460794.0,250.0,1735.0,11.0
11,11.0,Iran,237878,"+2,449",11408.0,+148,198949.0,"+2,503",27521.0,3136.0,2832.0,136.0,1744958.0,20774.0,83997756.0,353.0,7363.0,48.0
12,12.0,Pakistan,225283,"+3,387",4619.0,+68,125094.0,"+11,471",95570.0,2460.0,1020.0,21.0,1372825.0,6215.0,220896749.0,981.0,47824.0,161.0
13,13.0,Saudi Arabia,205929,"+4,128",1858.0,+56,143256.0,"+2,642",60815.0,2295.0,5915.0,53.0,1823763.0,52384.0,34815518.0,169.0,18738.0,19.0
14,14.0,Turkey,203456,,5186.0,,178278.0,,19992.0,1082.0,2412.0,61.0,3535818.0,41921.0,84344072.0,415.0,16264.0,24.0
15,15.0,Germany,197250,+250,9074.0,+1,181300.0,+300,6876.0,318.0,2354.0,108.0,5873563.0,70102.0,83786438.0,425.0,9234.0,14.0
16,16.0,South Africa,177124,,2952.0,,86298.0,,87874.0,539.0,2986.0,50.0,1745153.0,29423.0,59312107.0,335.0,20092.0,34.0
17,17.0,France,166960,,29893.0,,77060.0,,60007.0,560.0,2558.0,458.0,1384633.0,21212.0,65274927.0,391.0,2184.0,47.0
18,18.0,Bangladesh,159679,"+3,288",1997.0,+29,70721.0,"+2,673",86961.0,1.0,970.0,12.0,835074.0,5070.0,164699098.0,1031.0,82473.0,197.0
